,"Elaborate and 
evaluate a
 solution","List of related 
solutions","Compare 
solutions","How to 
design","How to 
implement"
Instantiate architecture elements,3,,,2,
Instantiate architecture elements,4,,,2,
Instantiate architecture elements,5,,,4,
Instantiate architecture elements,4,,,4,
Instantiate architecture elements,3,,,4,
Instantiate architecture elements,3,,,2,
Instantiate architecture elements,4,,,4,
Instantiate architecture elements,3,,,5,
Instantiate architecture elements,2,,,2,
Instantiate architecture elements,3,,,4,
Instantiate architecture elements,4,,,4,
Instantiate architecture elements,4,,,4,
Instantiate architecture elements,4,,,4,
Instantiate architecture elements,4,,,3,
Instantiate architecture elements,3,,,4,
Instantiate architecture elements,4,,,3,
Instantiate architecture elements,4,,,5,
Instantiate architecture elements,3,,,4,
Instantiate architecture elements,4,,,2,
Instantiate architecture elements,2,,,2,
Instantiate architecture elements,2,,,5,
Instantiate architecture elements,4,,,4,
Instantiate architecture elements,3,,,2,
Instantiate architecture elements,3,,,4,
Instantiate architecture elements,4,,,4,
Instantiate architecture elements,4,,,5,
Instantiate architecture elements,4,,,4,
Instantiate architecture elements,4,,,,
Instantiate architecture elements,3,,,,
Instantiate architecture elements,5,,,,
Instantiate architecture elements,5,,,,
Instantiate architecture elements,4,,,,
Instantiate architecture elements,4,,,,
Instantiate architecture elements,2,,,,
Instantiate architecture elements,4,,,,
Instantiate architecture elements,3,,,,
Instantiate architecture elements,3,,,,
Instantiate architecture elements,4,,,,
Instantiate architecture elements,5,,,,
Instantiate architecture elements,3,,,,
Instantiate architecture elements,2,,,,
Instantiate architecture elements,2,,,,
Instantiate architecture elements,2,,,,
Instantiate architecture elements,3,,,,
Instantiate architecture elements,4,,,,
Instantiate architecture elements,3,,,,
Instantiate architecture elements,3,,,,
Instantiate architecture elements,3,,,,
Instantiate architecture elements,3,,,,
Instantiate architecture elements,3,,,,
Instantiate architecture elements,4,,,,
Instantiate architecture elements,3,,,,
Instantiate architecture elements,3,,,,
Instantiate architecture elements,3,,,,
Instantiate architecture elements,4,,,,
Instantiate architecture elements,5,,,,
Instantiate architecture elements,3,,,,
Instantiate architecture elements,3,,,,
Instantiate architecture elements,2,,,,
Instantiate architecture elements,5,,,,
Instantiate architecture elements,3,,,,
Instantiate architecture elements,2,,,,
Instantiate architecture elements,5,,,,
Instantiate architecture elements,5,,,,
Instantiate architecture elements,4,,,,
Instantiate architecture elements,5,,,,
Instantiate architecture elements,4,,,,
Instantiate architecture elements,5,,,,
Instantiate architecture elements,4,,,,
Instantiate architecture elements,5,,,,
Instantiate architecture elements,4,,,,
Instantiate architecture elements,3,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,"Elaborate and 
evaluate a
 solution","List of related 
solutions","Compare 
solutions","How to 
design","How to 
implement"
Identify concepts,57,52,87,59,88
Select concepts,98,108,232,58,15
Instantiate architecture elements,146,71,40,101,51
